,chr,start,end,Input_count,MeCP2_count,corresponding_loci,MeCP2_signal,loci_name
28,chr1,39000001,43000000,2092086.0,5640658.0,chr1_41248518_41259654,1.4309213091309545,chr1_39000001_43000000
29,chr1,40000001,44000000,2088753.0,4066001.0,chr1_42246693_42257028,0.9609686696234533,chr1_40000001_44000000
30,chr1,41000001,45000000,1938788.0,3047675.0,chr1_43752097_43759984,0.6525540057782475,chr1_41000001_45000000
31,chr1,43000001,47000000,1499456.0,2025447.0,chr1_45891172_45902631,0.4338011460057415,chr1_43000001_47000000
32,chr1,44000001,48000000,1407889.0,1214338.0,chr1_46240257_46258868,-0.21336355569384818,chr1_44000001_48000000
33,chr1,46000001,50000000,1383645.0,1006543.0,chr1_48742008_48759934,-0.4590650338584735,chr1_46000001_50000000
34,chr1,49000001,53000000,1837488.0,2240466.0,chr1_51127686_51139192,0.2860640049251016,chr1_49000001_53000000
35,chr1,49000001,53000000,1837488.0,2240466.0,chr1_51245791_51259984,0.2860640049251016,chr1_49000001_53000000
36,chr1,49000001,53000000,1837488.0,2240466.0,chr1_51617094_51626197,0.2860640049251016,chr1_49000001_53000000
37,chr1,50000001,54000000,1801526.0,2436642.0,chr1_52660757_52671458,0.4356748276175268,chr1_50000001_54000000
38,chr1,51000001,55000000,1906900.0,3078545.0,chr1_53741172_53759401,0.6910194679367269,chr1_51000001_55000000
39,chr1,52000001,56000000,1891432.0,3193095.0,chr1_54851243_54861152,0.7554765660448469,chr1_52000001_56000000
40,chr1,53000001,57000000,1901780.0,2827104.0,chr1_55201402_55215684,0.5719745929199929,chr1_53000001_57000000
41,chr1,53000001,57000000,1901780.0,2827104.0,chr1_55447113_55457262,0.5719745929199929,chr1_53000001_57000000
42,chr1,53000001,57000000,1901780.0,2827104.0,chr1_55687134_55701766,0.5719745929199929,chr1_53000001_57000000
43,chr1,54000001,58000000,2091871.0,3453135.0,chr1_56249440_56259359,0.7231128500805608,chr1_54000001_58000000
44,chr1,55000001,59000000,2029628.0,3799203.0,chr1_57210738_57220688,0.9044814729770911,chr1_55000001_59000000
45,chr1,55000001,59000000,2029628.0,3799203.0,chr1_57812315_57822455,0.9044814729770911,chr1_55000001_59000000
46,chr1,56000001,60000000,2041818.0,4295483.0,chr1_58728402_58741716,1.0729660869319773,chr1_56000001_60000000
47,chr1,56000001,60000000,2041818.0,4295483.0,chr1_58748240_58759993,1.0729660869319773,chr1_56000001_60000000
48,chr1,58000001,62000000,2041859.0,3940856.0,chr1_60466332_60477970,0.9486257891970813,chr1_58000001_62000000
49,chr1,58000001,62000000,2041859.0,3940856.0,chr1_60843345_60864283,0.9486257891970813,chr1_58000001_62000000
50,chr1,59000001,63000000,2168421.0,3749758.0,chr1_61248987_61259872,0.7901526068489284,chr1_59000001_63000000
51,chr1,60000001,64000000,2160935.0,3307415.0,chr1_62926942_62936078,0.6140484027638423,chr1_60000001_64000000
52,chr1,61000001,65000000,2193768.0,3622702.0,chr1_63750959_63759951,0.723655173091995,chr1_61000001_65000000
53,chr1,64000001,68000000,1824716.0,2337304.0,chr1_66249881_66259968,0.35717345010491575,chr1_64000001_68000000
54,chr1,66000001,70000000,1800383.0,1384731.0,chr1_68095605_68108350,-0.37869810403783055,chr1_66000001_70000000
55,chr1,66000001,70000000,1800383.0,1384731.0,chr1_68746515_68772592,-0.37869810403783055,chr1_66000001_70000000
56,chr1,66000001,70000000,1800383.0,1384731.0,chr1_68746941_68759836,-0.37869810403783055,chr1_66000001_70000000
57,chr1,69000001,73000000,2127391.0,3551655.0,chr1_71245650_71259896,0.7394062330454781,chr1_69000001_73000000
58,chr1,70000001,74000000,2120730.0,4757635.0,chr1_72440283_72449504,1.1656836378467257,chr1_70000001_74000000
59,chr1,70000001,74000000,2120730.0,4757635.0,chr1_72605139_72614561,1.1656836378467257,chr1_70000001_74000000
60,chr1,71000001,75000000,2091500.0,8038290.0,chr1_73563551_73577005,1.9423506289313464,chr1_71000001_75000000
61,chr1,71000001,75000000,2091500.0,8038290.0,chr1_73752727_73759940,1.9423506289313464,chr1_71000001_75000000
62,chr1,73000001,77000000,2003797.0,8812782.0,chr1_75449502_75457894,2.1368611580348236,chr1_73000001_77000000
63,chr1,73000001,77000000,2003797.0,8812782.0,chr1_75872625_75902726,2.1368611580348236,chr1_73000001_77000000
64,chr1,74000001,78000000,2041950.0,7857518.0,chr1_76250495_76259949,1.9441261317096696,chr1_74000001_78000000
65,chr1,76000001,80000000,2038576.0,2804379.0,chr1_78742309_78759905,0.4601195938423768,chr1_76000001_80000000
66,chr1,77000001,81000000,2038032.0,2831435.0,chr1_79813394_79865230,0.47435670684929737,chr1_77000001_81000000
67,chr1,79000001,83000000,2016049.0,2441283.0,chr1_81249200_81260001,0.27610884193254737,chr1_79000001_83000000
68,chr1,79000001,83000000,2016049.0,2441283.0,chr1_81293798_81304532,0.27610884193254737,chr1_79000001_83000000
69,chr1,80000001,84000000,2070512.0,2346781.0,chr1_82457893_82468622,0.18069565271332613,chr1_80000001_84000000
70,chr1,81000001,85000000,2048189.0,2710139.0,chr1_83353943_83364452,0.404017999160631,chr1_81000001_85000000
71,chr1,81000001,85000000,2048189.0,2710139.0,chr1_83750651_83759990,0.404017999160631,chr1_81000001_85000000
72,chr1,82000001,86000000,1730933.0,3157857.0,chr1_84215850_84225005,0.8673959591149232,chr1_82000001_86000000
73,chr1,84000001,88000000,1687406.0,6433522.0,chr1_86251615_86259910,1.9308016136588926,chr1_84000001_88000000
74,chr1,85000001,89000000,1892630.0,8945823.0,chr1_87015429_87024900,2.2408218150795958,chr1_85000001_89000000
75,chr1,86000001,90000000,2231847.0,11972545.0,chr1_88751593_88760001,2.4234198236248337,chr1_86000001_90000000
76,chr1,87000001,91000000,2222355.0,13070905.0,chr1_89158367_89170247,2.5561978365330758,chr1_87000001_91000000
77,chr1,89000001,93000000,1990940.0,14895433.0,chr1_91252155_91259954,2.9033484133298284,chr1_89000001_93000000
78,chr1,89000001,93000000,1990940.0,14895433.0,chr1_91440930_91449063,2.9033484133298284,chr1_89000001_93000000
79,chr1,91000001,95000000,1816343.0,11688463.0,chr1_93214077_93222463,2.68597665858246,chr1_91000001_95000000
80,chr1,91000001,95000000,1816343.0,11688463.0,chr1_93751121_93759937,2.68597665858246,chr1_91000001_95000000
81,chr1,94000001,98000000,1659181.0,1360352.0,chr1_96240019_96259995,-0.28649127184931544,chr1_94000001_98000000
82,chr1,95000001,99000000,1680212.0,1143340.0,chr1_97633611_97642780,-0.5553887880240571,chr1_95000001_99000000
83,chr1,96000001,100000000,1670578.0,1044396.0,chr1_98745311_98760001,-0.6776785069901857,chr1_96000001_100000000
84,chr1,99000001,103000000,1690357.0,810615.0,chr1_101248871_101259983,-1.0602391959297432,chr1_99000001_103000000
85,chr1,101000001,105000000,1707877.0,1000130.0,chr1_103741531_103759981,-0.7720165387366942,chr1_101000001_105000000
86,chr1,103000001,107000000,1908078.0,2387561.0,chr1_105987707_105995776,0.32341744492104635,chr1_103000001_107000000
87,chr1,104000001,108000000,1850667.0,2453498.0,chr1_106240015_106259957,0.4067947683290601,chr1_104000001_108000000
88,chr1,106000001,110000000,1674279.0,1720781.0,chr1_108745867_108759994,0.03952354342058687,chr1_106000001_110000000
89,chr1,109000001,113000000,1529606.0,871014.0,chr1_111240218_111253426,-0.8123922746488049,chr1_109000001_113000000
90,chr1,111000001,115000000,1674427.0,896244.0,chr1_113740891_113757232,-0.9017040195493435,chr1_111000001_115000000
91,chr1,113000001,117000000,1793849.0,874070.0,chr1_115766612_115779633,-1.0372377264237047,chr1_113000001_117000000
92,chr1,114000001,118000000,1599070.0,838117.0,chr1_116250169_116259977,-0.9320095334441482,chr1_114000001_118000000
93,chr1,116000001,120000000,1604101.0,5707392.0,chr1_118750066_118759907,1.8310666728876475,chr1_116000001_120000000
94,chr1,117000001,121000000,1633259.0,8079920.0,chr1_119471355_119481522,2.306587419130174,chr1_117000001_121000000
95,chr1,118000001,122000000,1847244.0,9122469.0,chr1_120191274_120201880,2.304049900673876,chr1_118000001_122000000
96,chr1,119000001,123000000,1939923.0,7150903.0,chr1_121247615_121259941,1.882126044021493,chr1_119000001_123000000
97,chr1,119000001,123000000,1939923.0,7150903.0,chr1_121460250_121469870,1.882126044021493,chr1_119000001_123000000
98,chr1,121000001,125000000,1938298.0,2056343.0,chr1_123750219_123759979,0.08529053527566378,chr1_121000001_125000000
99,chr1,122000001,126000000,1953287.0,1875025.0,chr1_124736446_124747237,-0.058994111183014564,chr1_122000001_126000000
100,chr1,124000001,128000000,2027017.0,3895765.0,chr1_126250878_126259942,0.9425484656014242,chr1_124000001_128000000
101,chr1,126000001,130000000,2078229.0,4204297.0,chr1_128750597_128759944,1.016509954250031,chr1_126000001_130000000
102,chr1,129000001,133000000,2016102.0,7604888.0,chr1_131252406_131259945,1.9153583705120236,chr1_129000001_133000000
103,chr1,131000001,135000000,1983950.0,13042535.0,chr1_133751779_133759866,2.7167767327452017,chr1_131000001_135000000
104,chr1,134000001,138000000,1942154.0,10483097.0,chr1_136250702_136259796,2.4323354856986388,chr1_134000001_138000000
105,chr1,135000001,139000000,2003100.0,8090462.0,chr1_137926055_137936989,2.013987643003152,chr1_135000001_139000000
106,chr1,136000001,140000000,1943654.0,4588436.0,chr1_138748824_138759892,1.239231064770821,chr1_136000001_140000000
107,chr1,138000001,142000000,1723195.0,1641679.0,chr1_140441329_140457002,-0.0699139065675678,chr1_138000001_142000000
108,chr1,139000001,143000000,1581899.0,1188504.0,chr1_141240021_141259694,-0.41251073176216446,chr1_139000001_143000000
109,chr1,141000001,145000000,1673949.0,1132607.0,chr1_143748174_143759944,-0.5636082227003972,chr1_141000001_145000000
110,chr1,141000001,145000000,1673949.0,1132607.0,chr1_143881449_143914699,-0.5636082227003972,chr1_141000001_145000000
111,chr1,144000001,148000000,1605069.0,868046.0,chr1_146244995_146259798,-0.8867919164726978,chr1_144000001_148000000
112,chr1,146000001,150000000,1607120.0,833167.0,chr1_148742728_148759962,-0.9478000523030713,chr1_146000001_150000000
113,chr1,147000001,151000000,1748239.0,1207740.0,chr1_149877107_149889559,-0.5335925203044344,chr1_147000001_151000000
114,chr1,149000001,153000000,2002864.0,3668179.0,chr1_151250489_151259792,0.8729995798657976,chr1_149000001_153000000
115,chr1,150000001,154000000,2041868.0,5367423.0,chr1_152397430_152457381,1.3943399858352234,chr1_150000001_154000000
116,chr1,151000001,155000000,2058242.0,6080486.0,chr1_153750518_153760001,1.5627740211352468,chr1_151000001_155000000
117,chr1,153000001,157000000,2029764.0,7080765.0,chr1_155710577_155718754,1.8025932408307141,chr1_153000001_157000000
118,chr1,154000001,158000000,2041274.0,6130282.0,chr1_156250350_156259990,1.5864835928919905,chr1_154000001_158000000
119,chr1,156000001,160000000,2113620.0,4389547.0,chr1_158749876_158759890,1.0543560385497623,chr1_156000001_160000000
120,chr1,159000001,163000000,2145514.0,3356301.0,chr1_161250971_161259832,0.6455487903957239,chr1_159000001_163000000
121,chr1,159000001,163000000,2145514.0,3356301.0,chr1_161260068_161272207,0.6455487903957239,chr1_159000001_163000000
122,chr1,160000001,164000000,2123533.0,3065797.0,chr1_162053394_162071084,0.5297956443874414,chr1_160000001_164000000
123,chr1,160000001,164000000,2123533.0,3065797.0,chr1_162711666_162722465,0.5297956443874414,chr1_160000001_164000000
124,chr1,161000001,165000000,2158770.0,3342290.0,chr1_163749198_163759985,0.6306273732303666,chr1_161000001_165000000
125,chr1,164000001,168000000,2039038.0,6513092.0,chr1_166252450_166259984,1.675453943441102,chr1_164000001_168000000
126,chr1,165000001,169000000,1967209.0,6313834.0,chr1_167066758_167075483,1.6823660901655682,chr1_165000001_169000000
127,chr1,165000001,169000000,1967209.0,6313834.0,chr1_167242835_167251732,1.6823660901655682,chr1_165000001_169000000
128,chr1,166000001,170000000,1923703.0,5087985.0,chr1_168746891_168759978,1.4032083383950888,chr1_166000001_170000000
129,chr1,167000001,171000000,1916751.0,5319426.0,chr1_169859809_169871944,1.4726076456055084,chr1_167000001_171000000
130,chr1,169000001,173000000,2002444.0,6084093.0,chr1_171252098_171259935,1.603280308884572,chr1_169000001_173000000
131,chr1,169000001,173000000,2002444.0,6084093.0,chr1_171459412_171470356,1.603280308884572,chr1_169000001_173000000
132,chr1,169000001,173000000,2002444.0,6084093.0,chr1_171843208_171853077,1.603280308884572,chr1_169000001_173000000
133,chr1,171000001,175000000,1791484.0,4643325.0,chr1_173342272_173351084,1.3740031042256693,chr1_171000001_175000000
134,chr1,171000001,175000000,1791484.0,4643325.0,chr1_173740354_173759447,1.3740031042256693,chr1_171000001_175000000
135,chr1,174000001,178000000,1896027.0,2994700.0,chr1_176249889_176259984,0.6594319766235667,chr1_174000001_178000000
136,chr1,176000001,180000000,1942787.0,5281273.0,chr1_178376209_178389306,1.4427579814171563,chr1_176000001_180000000
137,chr1,176000001,180000000,1942787.0,5281273.0,chr1_178751149_178759535,1.4427579814171563,chr1_176000001_180000000
138,chr1,177000001,181000000,1908945.0,7563191.0,chr1_179080127_179089384,1.9862195162341167,chr1_177000001_181000000
139,chr1,179000001,183000000,1991335.0,9670179.0,chr1_181252104_181259996,2.279806650573141,chr1_179000001_183000000
140,chr1,180000001,184000000,1731687.0,8494682.0,chr1_182477230_182484987,2.294381752343146,chr1_180000001_184000000
141,chr1,181000001,185000000,1773466.0,7295276.0,chr1_183752279_183759997,2.040390888313617,chr1_181000001_185000000
142,chr1,184000001,188000000,2047969.0,6266339.0,chr1_186251982_186259848,1.6134289420601036,chr1_184000001_188000000
143,chr1,184000001,188000000,2047969.0,6266339.0,chr1_186665592_186673783,1.6134289420601036,chr1_184000001_188000000
144,chr1,185000001,189000000,2060272.0,5700472.0,chr1_187669688_187679262,1.4682465629990982,chr1_185000001_189000000
145,chr1,186000001,190000000,2102778.0,6700281.0,chr1_188751447_188759965,1.6719250552417555,chr1_186000001_190000000
146,chr1,187000001,191000000,2100518.0,8710796.0,chr1_189040928_189050246,2.052059410771338,chr1_187000001_191000000
147,chr1,187000001,191000000,2100518.0,8710796.0,chr1_189207390_189217329,2.052059410771338,chr1_187000001_191000000
148,chr1,187000001,191000000,2100518.0,8710796.0,chr1_189510684_189521211,2.052059410771338,chr1_187000001_191000000
149,chr1,187000001,191000000,2100518.0,8710796.0,chr1_189900300_189910420,2.052059410771338,chr1_187000001_191000000
150,chr1,189000001,193000000,2004738.0,10743510.0,chr1_191250765_191259922,2.421979803872359,chr1_189000001_193000000
151,chr1,191000001,195000000,2118686.0,7121007.0,chr1_193105714_193114935,1.7489114820138079,chr1_191000001_195000000
152,chr1,191000001,195000000,2118686.0,7121007.0,chr1_193746900_193756237,1.7489114820138079,chr1_191000001_195000000
153,chr10,1000001,5000000,906123.0,2321640.0,chr10_3751513_3759997,1.3573654765510736,chr10_1000001_5000000
154,chr10,3000001,7000000,1808189.0,3571143.0,chr10_5634754_5643762,0.9818404226377555,chr10_3000001_7000000
155,chr10,4000001,8000000,1781316.0,3721029.0,chr10_6240022_6259820,1.0627581653912639,chr10_4000001_8000000
156,chr10,6000001,10000000,1849744.0,3753534.0,chr10_8210638_8219447,1.020923932048435,chr10_6000001_10000000
157,chr10,6000001,10000000,1849744.0,3753534.0,chr10_8752349_8759916,1.020923932048435,chr10_6000001_10000000
158,chr10,7000001,11000000,1901705.0,3781296.0,chr10_9846919_9864739,0.9915873209754976,chr10_7000001_11000000
159,chr10,9000001,13000000,2004455.0,2725425.0,chr10_11246072_11259613,0.4432711904691873,chr10_9000001_13000000
160,chr10,10000001,14000000,2002785.0,3076018.0,chr10_12859250_12868222,0.6190563901655611,chr10_10000001_14000000
161,chr10,11000001,15000000,2029163.0,3236541.0,chr10_13577214_13590666,0.673568020278382,chr10_11000001_15000000
162,chr10,11000001,15000000,2029163.0,3236541.0,chr10_13751263_13760000,0.673568020278382,chr10_11000001_15000000
163,chr10,14000001,18000000,1872944.0,1587502.0,chr10_16246360_16259988,-0.23854935498187832,chr10_14000001_18000000
164,chr10,16000001,20000000,2047471.0,3126693.0,chr10_18742977_18759877,0.6107945546525443,chr10_16000001_20000000
165,chr10,17000001,21000000,2129977.0,4166168.0,chr10_19556678_19586322,0.9678831650083227,chr10_17000001_21000000
166,chr10,19000001,23000000,1927893.0,4764865.0,chr10_21248528_21259983,1.3054103569553788,chr10_19000001_23000000
167,chr10,19000001,23000000,1927893.0,4764865.0,chr10_21934495_21947241,1.3054103569553788,chr10_19000001_23000000
168,chr10,21000001,25000000,1844233.0,4125547.0,chr10_23228579_23239696,1.1615644797182487,chr10_21000001_25000000
169,chr10,21000001,25000000,1844233.0,4125547.0,chr10_23748749_23759870,1.1615644797182487,chr10_21000001_25000000
170,chr10,22000001,26000000,1794509.0,3672729.0,chr10_24980674_24992244,1.0332632890023887,chr10_22000001_26000000
171,chr10,23000001,27000000,1962213.0,3381634.0,chr10_25438678_25449732,0.7852388669467274,chr10_23000001_27000000
172,chr10,24000001,28000000,1927151.0,2900636.0,chr10_26249515_26259869,0.5898996464999093,chr10_24000001_28000000
173,chr10,24000001,28000000,1927151.0,2900636.0,chr10_26291724_26302292,0.5898996464999093,chr10_24000001_28000000
174,chr10,26000001,30000000,1963233.0,1589134.0,chr10_28133272_28143212,-0.30499062289662304,chr10_26000001_30000000
175,chr10,26000001,30000000,1963233.0,1589134.0,chr10_28740662_28759931,-0.30499062289662304,chr10_26000001_30000000
176,chr10,29000001,33000000,1800915.0,1582731.0,chr10_31248889_31259996,-0.18631401346268603,chr10_29000001_33000000
177,chr10,31000001,35000000,1708342.0,1646022.0,chr10_33746190_33758927,-0.05361320460617343,chr10_31000001_35000000
178,chr10,32000001,36000000,1668753.0,1381669.0,chr10_34171419_34181958,-0.2723583930121776,chr10_32000001_36000000
179,chr10,34000001,38000000,1852105.0,1528748.0,chr10_36246035_36256888,-0.27681527921128335,chr10_34000001_38000000
180,chr10,36000001,40000000,1948295.0,2923327.0,chr10_38743217_38750919,0.5853990775562176,chr10_36000001_40000000
181,chr10,37000001,41000000,1941868.0,4262111.0,chr10_39000437_39011105,1.134123030577348,chr10_37000001_41000000
182,chr10,38000001,42000000,1937727.0,6067048.0,chr10_40096766_40109359,1.6466293969301118,chr10_38000001_42000000
183,chr10,39000001,43000000,2011850.0,8272260.0,chr10_41219411_41230383,2.039758786424237,chr10_39000001_43000000
184,chr10,39000001,43000000,2011850.0,8272260.0,chr10_41251382_41259932,2.039758786424237,chr10_39000001_43000000
185,chr10,40000001,44000000,1994016.0,8567723.0,chr10_42576009_42584250,2.1032348516039003,chr10_40000001_44000000
186,chr10,41000001,45000000,2012800.0,8002707.0,chr10_43312814_43323541,1.9912842620306586,chr10_41000001_45000000
187,chr10,41000001,45000000,2012800.0,8002707.0,chr10_43748525_43759992,1.9912842620306586,chr10_41000001_45000000
188,chr10,42000001,46000000,2002930.0,6964125.0,chr10_44324374_44337530,1.797830096774158,chr10_42000001_46000000
189,chr10,42000001,46000000,2002930.0,6964125.0,chr10_44665780_44677839,1.797830096774158,chr10_42000001_46000000
190,chr10,44000001,48000000,1822584.0,2860074.0,chr10_46249752_46259986,0.6500671673877175,chr10_44000001_48000000
191,chr10,46000001,50000000,1620578.0,1094029.0,chr10_48740218_48759998,-0.5668574797357412,chr10_46000001_50000000
192,chr10,47000001,51000000,1592036.0,1117072.0,chr10_49782392_49792295,-0.5111507826740089,chr10_47000001_51000000
193,chr10,49000001,53000000,1741801.0,1620126.0,chr10_51243267_51259999,-0.10447378771566163,chr10_49000001_53000000
194,chr10,50000001,54000000,1851745.0,2111804.0,chr10_52727613_52740618,0.1895905003061197,chr10_50000001_54000000
195,chr10,50000001,54000000,1851745.0,2111804.0,chr10_52923626_52936024,0.1895905003061197,chr10_50000001_54000000
196,chr10,51000001,55000000,1898818.0,2097601.0,chr10_53750382_53759996,0.1436386473657817,chr10_51000001_55000000
197,chr10,54000001,58000000,1849773.0,1382157.0,chr10_56240216_56259975,-0.42042673571463257,chr10_54000001_58000000
198,chr10,56000001,60000000,1875360.0,4489651.0,chr10_58635610_58644230,1.2594357359286048,chr10_56000001_60000000
199,chr10,56000001,60000000,1875360.0,4489651.0,chr10_58746462_58759930,1.2594357359286048,chr10_56000001_60000000
200,chr10,59000001,63000000,1948602.0,15993519.0,chr10_61251041_61259954,3.036976048279929,chr10_59000001_63000000
201,chr10,59000001,63000000,1948602.0,15993519.0,chr10_61347203_61356352,3.036976048279929,chr10_59000001_63000000
202,chr10,59000001,63000000,1948602.0,15993519.0,chr10_61571895_61581633,3.036976048279929,chr10_59000001_63000000
203,chr10,60000001,64000000,1927338.0,14711944.0,chr10_62865770_62877951,2.932306386943238,chr10_60000001_64000000
204,chr10,61000001,65000000,1987931.0,9455908.0,chr10_63169128_63179433,2.24994831646232,chr10_61000001_65000000
205,chr10,61000001,65000000,1987931.0,9455908.0,chr10_63740897_63756638,2.24994831646232,chr10_61000001_65000000
206,chr10,62000001,66000000,1976364.0,5035844.0,chr10_64066143_64075336,1.3493849099891897,chr10_62000001_66000000
207,chr10,64000001,68000000,1986947.0,3053476.0,chr10_66247391_66259895,0.6198991152688333,chr10_64000001_68000000
208,chr10,64000001,68000000,1986947.0,3053476.0,chr10_66905620_66916304,0.6198991152688333,chr10_64000001_68000000
209,chr10,65000001,69000000,2016375.0,3830038.0,chr10_67878321_67888174,0.9255947336902621,chr10_65000001_69000000
210,chr10,66000001,70000000,2062206.0,5410731.0,chr10_68749691_68760001,1.3916350629710927,chr10_66000001_70000000
211,chr10,67000001,71000000,2123596.0,6427693.0,chr10_69244208_69255897,1.597791695419543,chr10_67000001_71000000
212,chr10,69000001,73000000,2045248.0,5268621.0,chr10_71250749_71259981,1.3651496125000315,chr10_69000001_73000000
213,chr10,69000001,73000000,2045248.0,5268621.0,chr10_71317922_71329172,1.3651496125000315,chr10_69000001_73000000
214,chr10,71000001,75000000,2000462.0,2996110.0,chr10_73747691_73759891,0.582757368199829,chr10_71000001_75000000
215,chr10,73000001,77000000,1983512.0,8653868.0,chr10_75877316_75898355,2.1252879894403263,chr10_73000001_77000000
216,chr10,74000001,78000000,1931336.0,13096629.0,chr10_76252105_76259992,2.761524436823279,chr10_74000001_78000000
217,chr10,76000001,80000000,1698968.0,14974171.0,chr10_78748883_78759822,3.1397455499648492,chr10_76000001_80000000
218,chr10,77000001,81000000,1629783.0,19277270.0,chr10_79724454_79734149,3.5641489626034955,chr10_77000001_81000000
219,chr10,79000001,83000000,1447640.0,18247583.0,chr10_81252100_81260001,3.655930601328077,chr10_79000001_83000000
220,chr10,80000001,84000000,1581115.0,17387356.0,chr10_82662383_82675467,3.459024357729954,chr10_80000001_84000000
221,chr10,81000001,85000000,1712598.0,11677980.0,chr10_83636600_83645786,2.7695322945594523,chr10_81000001_85000000
222,chr10,81000001,85000000,1712598.0,11677980.0,chr10_83750740_83759977,2.7695322945594523,chr10_81000001_85000000
223,chr10,81000001,85000000,1712598.0,11677980.0,chr10_83896332_83906922,2.7695322945594523,chr10_81000001_85000000
224,chr10,82000001,86000000,1893833.0,7946263.0,chr10_84122257_84132220,2.0689674253634123,chr10_82000001_86000000
225,chr10,82000001,86000000,1893833.0,7946263.0,chr10_84979628_84989988,2.0689674253634123,chr10_82000001_86000000
226,chr10,84000001,88000000,2016388.0,6603906.0,chr10_86056349_86066706,1.7115463114082607,chr10_84000001_88000000
227,chr10,84000001,88000000,2016388.0,6603906.0,chr10_86252896_86260000,1.7115463114082607,chr10_84000001_88000000
228,chr10,85000001,89000000,1975500.0,5647501.0,chr10_87489881_87500372,1.515394774760043,chr10_85000001_89000000
229,chr10,85000001,89000000,1975500.0,5647501.0,chr10_87902350_87912070,1.515394774760043,chr10_85000001_89000000
230,chr10,86000001,90000000,2043113.0,4820357.0,chr10_88751030_88759997,1.2383709992054317,chr10_86000001_90000000
231,chr10,89000001,93000000,2119770.0,3188671.0,chr10_91187762_91201376,0.5890475136991848,chr10_89000001_93000000
232,chr10,89000001,93000000,2119770.0,3188671.0,chr10_91242559_91260001,0.5890475136991848,chr10_89000001_93000000
233,chr10,90000001,94000000,2022403.0,3772205.0,chr10_92227361_92247081,0.8993375725218296,chr10_90000001_94000000
234,chr10,91000001,95000000,2002307.0,4797262.0,chr10_93676208_93685027,1.2605480440703538,chr10_91000001_95000000
235,chr10,91000001,95000000,2002307.0,4797262.0,chr10_93751462_93759927,1.2605480440703538,chr10_91000001_95000000
