loci_name,name,id,chr,chr_order,library,adjacent_genes_10kb_tss,adjacent_genes_50kb_tss,adjacent_genes_100kb_tss,adjacent_genes_200kb_tss,adjacent_genes_500kb_tss,adjacent_genes_1000kb_tss,adjacent_genes_1500kb_tss,adjacent_genes_2000kb_tss
chr1_21249750_21259997,1:21249750-21259997,8,1,10.0,CTP11,Gsta3,Gm28836; Gsta3; Tmem14a,Gm2693; Gm28836; Gsta3; Khdc1a; Tmem14a,Gm2693; Gm2709; Gm28836; Gsta3; Khdc1a; Khdc1b; Khdc1c; Tmem14a; Tram2,6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm7658; Gsta3; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm4849; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Rims1; Tmem14a; Tram2
chr1_21522568_21534512,1:21522568-21534512,4,1,11.0,CTP13,Gm7658,Gm7658,Gm7658,Gm2709; Gm7658; Khdc1a; Khdc1b; Khdc1c,Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Tmem14a; Tram2,6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Rims1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gm7784; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Mir30a; Mir30c-2; Ogfrl1; Paqr8; Pkhd1; Rims1; Tmem14a; Tram2
chr1_21732182_21745770,1:21732182-21745770,5,1,12.0,CTP13,intergenic,intergenic,intergenic,intergenic,Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c,6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Rims1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gm7784; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Mir30a; Mir30c-2; Ogfrl1; Paqr8; Pkhd1; Rims1; Tmem14a; Tram2
chr1_23267987_23280937,1:23267987-23280937,6,1,13.0,CTP13,Mir30a,Mir30a; Mir30c-2,Mir30a; Mir30c-2,Gm7784; Mir30a; Mir30c-2; Ogfrl1,B3gat2; Gm7784; Mir30a; Mir30c-2; Ogfrl1; Rims1,B3gat2; Col9a1; Fam135a; Gm7784; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm5696; Gm7784; Kcnq5; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm2709; Gm28836; Gm5696; Gm7658; Gm7784; Gm9443; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2
chr1_23749258_23759965,1:23749258-23759965,9,1,14.0,CTP11,B3gat2,B3gat2,B3gat2,B3gat2; Smap1,B3gat2; Col9a1; Fam135a; Gm7784; Mir30a; Mir30c-2; Ogfrl1; Smap1,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm7784; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm7784; Gm9443; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm29214; Gm5696; Gm7784; Gm9443; Kcnq5; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2
chr1_23956510_23970234,1:23956510-23970234,7,1,15.0,CTP13,intergenic,Smap1,Smap1,B3gat2; Fam135a; Smap1,B3gat2; Col9a1; Fam135a; Gm7784; Smap1,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm7784; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm7784; Gm9443; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm29214; Gm5696; Gm7784; Gm9443; Kcnq5; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2
chr1_24241577_24251162,1:24241577-24251162,8,1,16.0,CTP13,intergenic,intergenic,Col9a1,Col9a1; Fam135a,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Lmbrd1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm7784; Gm9443; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm29214; Gm7784; Gm9443; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2,B3gat2; Col19a1; Col9a1; Fam135a; Gm10222; Gm29214; Gm7784; Gm9443; Lmbrd1; Mir30a; Mir30c-2; Ogfrl1; Rims1; Smap1; Tubb4b-ps2
chr1_26243246_26258573,1:26243246-26258573,10,1,17.0,CTP11,intergenic,intergenic,intergenic,intergenic,intergenic,Gm29214,Gm29214; Gm9443,Col19a1; Gm10222; Gm19028; Gm29214; Gm5524; Gm9443; Lmbrd1; Tubb4b-ps2
chr1_28745389_28759969,1:28745389-28759969,11,1,18.0,CTP11,intergenic,Gm5697,Gm5697,Gm5697; Gm6462; Gm7846,Gm18033; Gm5697; Gm6462; Gm7846,Gm18033; Gm19028; Gm5524; Gm5525; Gm5697; Gm6462; Gm7846,Gm18033; Gm19028; Gm5524; Gm5525; Gm5697; Gm6462; Gm7846; Gm7858,Gm18033; Gm19028; Gm5524; Gm5525; Gm5697; Gm6462; Gm7846; Gm7858
chr1_31240000_31259970,1:31240000-31259970,12,1,19.0,CTP11,intergenic,Gm6489,Gm6489; Gm7893; Lgsn,Gm28644; Gm6489; Gm7893; Lgsn,Gm19680; Gm28644; Gm6473; Gm6489; Gm7893; Gm7910; Lgsn; Phf3; Ptp4a1,Gm19680; Gm28644; Gm6473; Gm6489; Gm7893; Gm7910; Khdrbs2; Lgsn; Phf3; Ptp4a1,Gm19680; Gm28644; Gm5415; Gm6473; Gm6489; Gm7858; Gm7893; Gm7910; Khdrbs2; Lgsn; Phf3; Ptp4a1,Gm19680; Gm28644; Gm4785; Gm5415; Gm5525; Gm6473; Gm6489; Gm7114; Gm7858; Gm7893; Gm7910; Khdrbs2; Lgsn; Phf3; Ptp4a1
chr1_33752697_33759841,1:33752697-33759841,13,1,20.0,CTP11,Bag2,Bag2; Rab23,Bag2; Gm15455; Gm17813; Prim2; Rab23; Zfp451,Bag2; Bend6; Dst; Gm15455; Gm17813; Prim2; Rab23; Zfp451,Bag2; Bend6; Dst; Gm15455; Gm17813; Gm29228; Gm7933; Mir6896; Prim2; Rab23; Zfp451,4930568A12Rik; Amer3; Arhgef4; Bag2; Bend6; Ccdc115; Dst; Gm15455; Gm17813; Gm29228; Gm4785; Gm5266; Gm7114; Gm7933; Imp4; Mir5103; Mir6896; Prim2; Ptpn18; Rab23; Zfp451,4930568A12Rik; Amer3; Arhgef4; Bag2; Bend6; Ccdc115; Dst; Fam168b; Gm15455; Gm17813; Gm29228; Gm4785; Gm5266; Gm5415; Gm7114; Gm7933; Gm8009; Imp4; Mir5103; Mir6896; Plekhb2; Prim2; Ptpn18; Rab23; Zfp451,4930568A12Rik; Amer3; Arhgef4; Bag2; Bend6; Ccdc115; Dst; Fam168b; Gm15455; Gm17813; Gm29228; Gm4785; Gm5266; Gm5415; Gm7114; Gm7933; Gm8009; Imp4; Khdrbs2; Mir5103; Mir6896; Plekhb2; Prim2; Ptpn18; Rab23; Zfp451
chr1_35544821_35559274,1:35544821-35559274,9,1,21.0,CTP13,intergenic,intergenic,intergenic,intergenic,1110002O04Rik,1110002O04Rik; Amer3; Ankrd23; Ankrd39; Arhgef4; Arid5a; Cnnm3; Cnnm4; Fam168b; Fer1l5; Gm33280; Gm8009; Hs6st1; Kansl3; Lman2l; Mir6897; Neurl3; Plekhb2; Sema4c; Uggt1,1110002O04Rik; 4930568A12Rik; 4933424G06Rik; Actr1b; Amer3; Ankrd23; Ankrd39; Arhgef4; Arid5a; Ccdc115; Cnnm3; Cnnm4; Cox5b; Fam168b; Fam178b; Fer1l5; Gm33280; Gm33533; Gm5266; Gm8009; Hs6st1; Imp4; Kansl3; Lman2l; Mir5103; Mir6896; Mir6897; Neurl3; Plekhb2; Ptpn18; Rpl12-ps1; Sema4c; Tmem131; Uggt1; Vwa3b; Zap70,1110002O04Rik; 4930439A04Rik; 4930568A12Rik; 4933424G06Rik; Actr1b; Amer3; Ankrd23; Ankrd39; Arhgef4; Arid5a; Bag2; Bend6; Ccdc115; Cnga3; Cnnm3; Cnnm4; Coa5; Cox5b; Dst; Fam168b; Fam178b; Fer1l5; Gm15455; Gm17813; Gm33280; Gm33533; Gm5266; Gm8009; Hs6st1; Imp4; Inpp4a; Kansl3; Lman2l; Mgat4a; Mir5103; Mir6896; Mir6897; Neurl3; Plekhb2; Prim2; Ptpn18; Rab23; Rpl12-ps1; Sema4c; Tmem131; Uggt1; Unc50; Vwa3b; Zap70; Zfp451
chr1_36078200_36086443,1:36078200-36086443,10,1,22.0,CTP13,Hs6st1,Gm33280; Hs6st1,Gm33280; Hs6st1; Mir6897,1110002O04Rik; Gm33280; Hs6st1; Mir6897; Neurl3; Uggt1,1110002O04Rik; Ankrd23; Ankrd39; Arid5a; Cnnm3; Cnnm4; Fer1l5; Gm33280; Hs6st1; Kansl3; Lman2l; Mir6897; Neurl3; Sema4c; Uggt1,1110002O04Rik; 4933424G06Rik; Actr1b; Ankrd23; Ankrd39; Arid5a; Cnnm3; Cnnm4; Cox5b; Fam178b; Fer1l5; Gm33280; Gm33533; Hs6st1; Kansl3; Lman2l; Mir6897; Neurl3; Rpl12-ps1; Sema4c; Tmem131; Uggt1; Vwa3b; Zap70,1110002O04Rik; 4930439A04Rik; 4933424G06Rik; Actr1b; Amer3; Ankrd23; Ankrd39; Arhgef4; Arid5a; Cnga3; Cnnm3; Cnnm4; Coa5; Cox5b; Fam168b; Fam178b; Fer1l5; Gm33280; Gm33533; Gm8009; Hs6st1; Inpp4a; Kansl3; Lman2l; Mgat4a; Mir6897; Neurl3; Plekhb2; Rpl12-ps1; Sema4c; Tmem131; Uggt1; Unc50; Vwa3b; Zap70,1110002O04Rik; 2010300C02Rik; 4930439A04Rik; 4930568A12Rik; 4933424G06Rik; Actr1b; Amer3; Ankrd23; Ankrd39; Arhgef4; Arid5a; Ccdc115; Cnga3; Cnnm3; Cnnm4; Coa5; Cox5b; Eif5b; Fam168b; Fam178b; Fer1l5; Gm33280; Gm33533; Gm5266; Gm8009; Hs6st1; Imp4; Inpp4a; Kansl3; Lipt1; Lman2l; Mgat4a; Mir5103; Mir6896; Mir6897; Mitd1; Mrpl30; Neurl3; Plekhb2; Ptpn18; Rpl12-ps1; Sema4c; Tmem131; Tsga10; Txndc9; Uggt1; Unc50; Vwa3b; Zap70
chr1_36250053_36259834,1:36250053-36259834,14,1,23.0,CTP11,Uggt1,Arid5a; Neurl3; Uggt1,Arid5a; Neurl3; Uggt1,Arid5a; Fer1l5; Gm33280; Hs6st1; Kansl3; Lman2l; Mir6897; Neurl3; Uggt1,1110002O04Rik; 4933424G06Rik; Actr1b; Ankrd23; Ankrd39; Arid5a; Cnnm3; Cnnm4; Cox5b; Fam178b; Fer1l5; Gm33280; Gm33533; Hs6st1; Kansl3; Lman2l; Mir6897; Neurl3; Sema4c; Uggt1,1110002O04Rik; 4933424G06Rik; Actr1b; Ankrd23; Ankrd39; Arid5a; Cnga3; Cnnm3; Cnnm4; Cox5b; Fam178b; Fer1l5; Gm33280; Gm33533; Hs6st1; Kansl3; Lman2l; Mir6897; Neurl3; Rpl12-ps1; Sema4c; Tmem131; Uggt1; Vwa3b; Zap70,1110002O04Rik; 2010300C02Rik; 4930439A04Rik; 4933424G06Rik; Actr1b; Ankrd23; Ankrd39; Arid5a; Cnga3; Cnnm3; Cnnm4; Coa5; Cox5b; Fam168b; Fam178b; Fer1l5; Gm33280; Gm33533; Gm8009; Hs6st1; Inpp4a; Kansl3; Lman2l; Mgat4a; Mir6897; Neurl3; Plekhb2; Rpl12-ps1; Sema4c; Tmem131; Uggt1; Unc50; Vwa3b; Zap70,1110002O04Rik; 2010300C02Rik; 4930439A04Rik; 4930568A12Rik; 4933424G06Rik; Actr1b; Amer3; Ankrd23; Ankrd39; Arhgef4; Arid5a; Ccdc115; Cnga3; Cnnm3; Cnnm4; Coa5; Cox5b; Eif5b; Fam168b; Fam178b; Fer1l5; Gm16150; Gm33280; Gm33533; Gm5266; Gm8009; Hs6st1; Imp4; Inpp4a; Kansl3; Lipt1; Lman2l; Mgat4a; Mir5103; Mir6897; Mitd1; Mrpl30; Neurl3; Plekhb2; Ptpn18; Rev1; Rpl12-ps1; Sema4c; Tmem131; Tsga10; Txndc9; Uggt1; Unc50; Vwa3b; Zap70
