,gene,chr,start,end
123,1700007K09Rik,chr7,131325943,131329516
124,1700007K13Rik,chr2,28462000,28466332
125,1700007L15Rik,chr16,33379854,33380727
126,1700007M16Rik,chr2,171234008,171238991
127,1700007P06Rik,chr1,187125137,187127852
128,1700008K24Rik,chr17,49112262,49113535
129,1700008O03Rik,chr7,44360042,44385820
130,1700008P02Rik,chr3,6615417,6620443
131,1700009C05Rik,chr6,81900463,81910800
132,1700009J07Rik,chr10,77893416,77896114
133,1700009N14Rik,chr4,39450294,39451776
134,1700010B08Rik,chr2,173719414,173722089
135,1700010D01Rik,chrX,95732585,95733265
136,1700010H22Rik,chr5,98553628,98567004
137,1700010I02Rik,chr3,7925302,7954889
138,1700010I14Rik,chr17,8988332,9008319
139,1700010J16Rik,chr10,112726887,112785602
140,1700010K23Rik,chr16,66657117,66664626
141,1700010K24Rik,chr3,108248908,108256985
142,1700010L04Rik,chr7,82851598,82859849
143,1700010N08Rik,chr7,38791660,38860532
144,1700011B04Rik,chr13,35180266,35188017
145,1700011C11Rik,chr7,71961172,72027317
146,1700011E24Rik,chr17,87389570,87427741
147,1700011H14Rik,chr14,49226357,49245428
148,1700011I03Rik,chr18,57533779,57731065
149,1700011L22Rik,chr8,79210430,79248570
150,1700011M02Rik,chrX,102908904,102909651
151,1700012A03Rik,chr6,32050245,32058921
152,1700012B07Rik,chr11,109787650,109828046
153,1700012B09Rik,chr9,14756586,14771030
154,1700012C08Rik,chr4,117213333,117213782
155,1700012C14Rik,chr6,30460127,30463313
156,1700012D16Rik,chr3,153296503,153298649
157,1700012E03Rik,chr1,120435804,120438455
158,1700012I11Rik,chr15,67226768,67377094
159,1700012L04Rik,chrX,9283763,9284298
160,1700012P22Rik,chr4,144418188,144438772
161,1700013D24Rik,chr6,124347592,124357086
162,1700013F07Rik,chr3,108534149,108544723
163,1700013G24Rik,chr4,137453283,137455461
164,1700013H16Rik,chrX,53742900,53757831
165,1700014D04Rik,chr13,59740841,59746752
166,1700014F14Rik,chr5,60940937,60945649
167,1700015E13Rik,chr1,170308802,170312125
168,1700015F17Rik,chr5,5437826,5479143
169,1700015G11Rik,chr7,52011682,52015728
170,1700015O11Rik,chr6,113631648,113633144
171,1700016C15Rik,chr1,177729813,177753324
172,1700016D06Rik,chr8,11654923,11701063
173,1700016F12Rik,chr5,96849504,96852938
174,1700016G14Rik,chr13,24741231,24746592
175,1700016G22Rik,chr13,5855507,5858092
176,1700016H13Rik,chr5,103648038,103656010
177,1700016K19Rik,chr11,75999911,76003569
178,1700016L21Rik,chr1,80445931,80479867
179,1700016P03Rik,chr11,75172559,75177633
180,1700016P04Rik,chr6,13413336,13415996
181,1700017B05Rik,chr9,57252321,57262599
182,1700017D01Rik,chr19,11096815,11130876
183,1700017G19Rik,chr3,40504866,40522912
184,1700017I07Rik,chr9,89802869,89806055
185,1700017J07Rik,chr2,168978267,168978906
186,1700017L05Rik,chr5,77465487,77468851
187,1700017N19Rik,chr10,100590510,100618401
188,1700018A04Rik,chr13,31565491,31582513
189,1700018B08Rik,chr8,121530779,121544320
190,1700018B24Rik,chr3,48605731,48609102
191,1700018C11Rik,chr4,63607088,63622428
192,1700018F24Rik,chr5,145042989,145045681
193,1700019A02Rik,chr1,53158576,53187636
194,1700019B21Rik,chrX,62510538,62527011
195,1700019D03Rik,chr1,52922323,53020179
196,1700019E08Rik,chr2,45696604,45698447
197,1700019G24Rik,chr6,5963908,5977393
198,1700019N19Rik,chr19,58785802,58794461
199,1700019O17Rik,chr1,86426328,86428052
200,1700019P21Rik,chr1,138876271,138876951
201,1700020A23Rik,chr2,130405258,130406074
202,1700020D05Rik,chr19,5502766,5503787
203,1700020G17Rik,chr10,110784584,110896550
204,1700020I14Rik,chr2,119594296,119607502
205,1700020L24Rik,chr11,83437676,83441233
206,1700020M21Rik,chr9,120913773,120915252
207,1700020N01Rik,chr10,21593144,21622376
208,1700020N15Rik,chrX,69945299,69945978
209,1700020N18Rik,chr1,91404878,91406029
210,1700021A07Rik,chr10,21419357,21426565
211,1700021F05Rik,chr10,43525120,43540994
212,1700021F07Rik,chr2,173522585,173528501
213,1700021F13Rik,chr5,119805328,119807869
214,1700021J08Rik,chr4,117002165,117003012
215,1700021L23Rik,chr4,124302836,124311461
216,1700021N21Rik,chr4,134448765,134450171
217,1700021P04Rik,chr19,24064792,24066452
218,1700022A21Rik,chr5,24645452,24648860
219,1700022A22Rik,chr15,46324558,46373907
220,1700022E09Rik,chr16,59462908,59469238
221,1700022H16Rik,chr12,9565235,9570585
222,1700022I11Rik,chr4,42969603,42983640
223,1700022N22Rik,chr17,25985814,25988469
224,1700023C21Rik,chr11,109845877,109848476
225,1700023F02Rik,chr10,66120604,66254223
226,1700023F06Rik,chr11,103198943,103208558
227,1700023G09Rik,chr1,186926932,186930112
228,1700023H06Rik,chr13,80884223,80885524
229,1700024B05Rik,chr14,41943994,42003821
230,1700024B18Rik,chr14,123987634,124015684
231,1700024G13Rik,chr14,32376501,32388373
232,1700024P04Rik,chr13,98984084,98984565
233,1700024P16Rik,chr4,104913455,105016863
234,1700025B11Rik,chr15,77558238,77561892
235,1700025C18Rik,chr2,165078692,165090750
236,1700025D23Rik,chr11,114091405,114095336
237,1700025F22Rik,chr19,11139663,11165320
238,1700025F24Rik,chr10,119413443,119426864
239,1700025G04Rik,chr1,151852402,152090125
240,1700025H01Rik,chr16,30195070,30200299
241,1700025J12Rik,chr7,121589902,121591591
242,1700025K24Rik,chr17,54352582,54370074
243,1700025M24Rik,chr5,73268580,73284187
244,1700025N21Rik,chr10,83139149,83142038
245,1700025N23Rik,chr6,39063877,39067598
246,1700025O08Rik,chr4,22928166,22938435
247,1700026D11Rik,chr2,132490633,132524057
248,1700026F02Rik,chr8,71006726,71026755
249,1700026J12Rik,chr16,49210640,49255772
250,1700026J14Rik,chr6,48536581,48537474
251,1700027A07Rik,chr15,78911965,78913660
252,1700027A15Rik,chr1,72984843,73025507
253,1700027F06Rik,chr6,124363300,124364519
254,1700027F09Rik,chr5,64454812,64467943
255,1700027H10Rik,chr3,45416583,45439310
256,1700027I24Rik,chr9,36668855,36693189
257,1700028B04Rik,chr7,28492549,28497713
258,1700028D13Rik,chr5,112206762,112210004
259,1700028E10Rik,chr5,151368674,151432118
260,1700028I16Rik,chr10,82812122,82824242
261,1700028J19Rik,chr7,44229929,44236122
262,1700028K03Rik,chr5,107534708,107551542
263,1700028M03Rik,chr3,83555362,83574122
264,1700028N14Rik,chr11,103264859,103267745
265,1700028P14Rik,chr19,23558759,23652812
266,1700028P15Rik,chr2,171956878,171962824
267,1700029B22Rik,chr7,131146438,131150580
268,1700029E06Rik,chr5,58453038,58455292
269,1700029F12Rik,chr13,97021863,97034362
270,1700029H14Rik,chr8,13550732,13562461
271,1700029I15Rik,chr2,92382537,92385708
272,1700029J03Rik,chr16,93391676,93458872
273,1700029J07Rik,chr8,45953605,45975252
274,1700029M03Rik,chr1,164960920,164962825
275,1700029M20Rik,chr4,135626654,135630198
276,1700029N11Rik,chr13,44439711,44457569
277,1700029P11Rik,chr15,81980539,81981563
278,1700030A11Rik,chr17,28905264,28906771
279,1700030C10Rik,chr12,20804380,20815779
280,1700030C12Rik,chr11,23497752,23499661
281,1700030C14Rik,chr2,152652882,152654330
282,1700030F04Rik,chr6,117646692,117751769
283,1700030J22Rik,chr8,116969598,116978943
284,1700030K09Rik,chr8,72443879,72461001
285,1700030L20Rik,chr3,136435269,136449349
286,1700030M09Rik,chr8,121544381,121548342
287,1700030N03Rik,chr19,3065710,3197714
288,1700030O20Rik,chr10,116723066,116729177
289,1700031A10Rik,chr17,36923791,36933432
290,1700031F05Rik,chrX,102859185,102867971
291,1700031F10Rik,chr6,88222601,88225678
292,1700031L13Rik,chr5,82122407,82124713
293,1700031M16Rik,chr15,98398418,98416268
294,1700031P21Rik,chr12,52599980,52602322
295,1700034B16Rik,chr18,75781031,75782303
296,1700034E13Rik,chr18,52646208,52663733
297,1700034G24Rik,chr5,112582935,112589996
298,1700034H15Rik,chr1,191886129,191907527
299,1700034I23Rik,chr3,40900195,40902543
300,1700034J05Rik,chr6,146950328,146954422
301,1700034K08Rik,chr9,92979913,93005739
302,1700034O15Rik,chr6,41684430,41685717
303,1700034P13Rik,chr1,9747647,9791924
304,1700036A12Rik,chr9,60743119,60770276
305,1700036G14Rik,chr3,85317518,85332030
306,1700036O09Rik,chrX,67458195,67459203
307,1700037C18Rik,chr16,3895178,3908689
308,1700037F24Rik,chr1,132201068,132203803
309,1700037H04Rik,chr2,131146323,131160081
310,1700039E15Rik,chr7,45277512,45288998
311,1700039E22Rik,chr19,44828492,44835938
312,1700039M10Rik,chr14,57571623,57572368
313,1700039M15Rik,chr9,107241219,107243997
314,1700040D17Rik,chr3,94409394,94412919
315,1700040F17Rik,chr15,55436114,55439020
316,1700040L02Rik,chr10,68430952,68541896
317,1700040L08Rik,chr6,71543191,71544114
318,1700041C23Rik,chr9,57175274,57186108
319,1700041G16Rik,chr8,22805765,22809537
320,1700041M05Rik,chr4,125228596,125242052
321,1700041M19Rik,chr16,76819582,77010897
322,1700042D02Rik,chr9,49051334,49055465
323,1700042G07Rik,chr4,116173371,116174290
324,1700042G15Rik,chr4,57360867,57364292
325,1700042O10Rik,chr11,11868122,11885321
326,1700044C05Rik,chr14,118365877,118398170
327,1700044K03Rik,chr18,49523288,49524440
328,1700045H11Rik,chr4,150828224,150854949
329,1700046C09Rik,chr11,14560354,14599225
330,1700047A11Rik,chr8,26082608,26096522
331,1700047F07Rik,chr4,107689700,107758985
332,1700047G03Rik,chr15,11964275,11970083
333,1700047I17Rik2,chr12,55199532,55214076
334,1700047K16Rik,chr11,58322987,58324439
335,1700047L14Rik,chr5,108763841,108768914
336,1700047M11Rik,chr1,182287989,182303325
337,1700048F04Rik,chr5,125928769,125952630
338,1700048M11Rik,chr16,92308715,92312468
339,1700048O20Rik,chr9,121938134,121947014
340,1700049E15Rik,chr6,147690240,147702374
341,1700049E17Rik1,chr14,41924948,41933041
342,1700049E22Rik,chr6,100527399,100533426
343,1700049G17Rik,chr7,27907391,27929460
344,1700049J03Rik,chr17,26554253,26561499
345,1700051A21Rik,chr11,72266420,72268575
346,1700052I22Rik,chr12,80923431,80924449
347,1700054A03Rik,chr19,53076217,53084392
348,1700054K19Rik,chr6,112210707,112212519
349,1700054M17Rik,chr2,118304913,118308166
350,1700055C04Rik,chr9,64038464,64041465
351,1700056E22Rik,chr1,184033029,184034301
352,1700056N10Rik,chr16,17047519,17049111
353,1700057G04Rik,chr9,92309376,92357876
354,1700057H15Rik,chr4,124414415,124485959
355,1700057H21Rik,chr2,51420983,51438785
356,1700058P15Rik,chr7,19258491,19259739
357,1700060C16Rik,chr6,143593352,143651288
358,1700060C20Rik,chr2,158192007,158195749
359,1700060J05Rik,chr4,53562982,53564697
360,1700060O08Rik,chr12,54062047,54079392
361,1700061E17Rik,chr9,110986200,110987804
362,1700061E18Rik,chr13,41800782,41801795
363,1700061F12Rik,chr2,9189514,9197477
364,1700061G19Rik,chr17,56875476,56888904
365,1700061H18Rik,chr18,69943319,69969609
366,1700061I17Rik,chr3,117060521,117077765
367,1700061J23Rik,chr11,23152139,23166375
368,1700063A18Rik,chr1,95990658,96021758
369,1700063D05Rik,chr9,41206136,41217627
370,1700063H04Rik,chr6,122391378,122392687
371,1700063H06Rik,chr9,82260292,82263485
372,1700063K16Rik,chr16,76819584,76841784
373,1700063O14Rik,chr5,91766241,91767300
374,1700064H15Rik,chr3,19610367,19628677
375,1700064J06Rik,chr10,119092904,119103107
376,1700064M15Rik,chr12,99626052,99627974
377,1700065D16Rik,chr9,95855417,95858322
378,1700065I16Rik,chr15,63817187,63821393
379,1700065J11Rik,chr6,35330845,35336825
380,1700065L07Rik,chr6,73436985,73471021
381,1700065O20Rik,chr18,49803325,49817958
382,1700066B17Rik,chr1,39839174,39847334
383,1700066B19Rik,chr18,35703224,35730869
384,1700066C05Rik,chr16,79999375,80000546
385,1700066J03Rik,chr13,58148776,58149692
386,1700066M21Rik,chr1,57377619,57385423
387,1700066N21Rik,chr5,87908578,87979351
388,1700066O22Rik,chr18,57504421,57533752
389,1700067G17Rik,chr1,89016112,89022210
390,1700067K01Rik,chr8,84001501,84004770
391,1700067P10Rik,chr17,48089631,48090920
392,1700069L16Rik,chr5,113692421,113724772
393,1700069P05Rik,chr6,118246694,118248452
394,1700071G01Rik,chr5,73157013,73157884
395,1700071M16Rik,chr17,43588339,43592442
396,1700072B07Rik,chr9,58370503,58374183
397,1700072G22Rik,chr1,51457931,51458931
398,1700073E17Rik,chr6,145387595,145402179
399,1700074H08Rik,chr13,119680039,119681588
400,1700074P13Rik,chr6,40920436,40940557
401,1700080E11Rik,chr9,105143341,105145092
402,1700080G11Rik,chr4,127531621,127532885
403,1700080N15Rik,chr2,4132062,4141141
404,1700080O16Rik,chrX,51968694,51972772
405,1700081H04Rik,chr5,119108233,119114543
406,1700082M22Rik,chr8,104641806,104658587
407,1700083H02Rik,chr12,71383153,71384208
408,1700084C06Rik,chr9,21091754,21128393
409,1700084F23Rik,chr13,70004049,70028348
410,1700084M14Rik,chrX,91575209,91575911
411,1700085C21Rik,chr12,82932519,82939155
412,1700086D15Rik,chr11,65151909,65159891
413,1700086L19Rik,chr12,74284241,74295945
414,1700086O06Rik,chr18,38238404,38250565
415,1700086P04Rik,chr4,129050096,129057983
416,1700087M22Rik,chr14,30770680,30778004
417,1700088E04Rik,chr15,79129348,79141253
418,1700091H14Rik,chr14,42089749,42095277
419,1700092C02Rik,chr8,77624171,77628957
420,1700092C10Rik,chr14,69164796,69171857
421,1700092C17Rik,chr2,22755983,22762273
422,1700092E19Rik,chr13,26284150,26312406
423,1700092K14Rik,chr11,114198257,114199199
424,1700092M07Rik,chr19,8740717,8741225
425,1700093J21Rik,chr16,96082675,96089070
426,1700093K21Rik,chr11,23516202,23521155
427,1700094J05Rik,chr10,76389014,76401507
428,1700094M24Rik,chr6,52492450,52500086
429,1700095A13Rik,chr18,83106527,83107860
430,1700095A21Rik,chr4,146519038,146546873
431,1700095B10Rik,chr5,112793291,112801701
432,1700095J03Rik,chr7,109438617,109444893
433,1700095J07Rik,chr6,30304604,30331779
434,1700095J12Rik,chr4,138137594,138138518
435,1700095K22Rik,chr7,3981149,3982877
436,1700096J18Rik,chr11,109346838,109353651
437,1700099I09Rik,chr13,102760254,102761896
438,1700100L14Rik,chr13,70573240,70576110
439,1700101I11Rik,chr6,129531949,129533817
440,1700101O22Rik,chr12,7372038,7380330
441,1700102P08Rik,chr9,108392804,108410934
442,1700104B16Rik,chr8,33730533,33731819
443,1700108F19Rik,chr14,76672962,76687169
444,1700108J01Rik,chr14,122229904,122233654
445,1700108N11Rik,chr2,144331458,144332639
446,1700109G14Rik,chr14,61292979,61318146
447,1700109G15Rik,chr11,84716975,84720432
448,1700109H08Rik,chr5,3571565,3584356
449,1700109I08Rik,chr14,39655662,39685293
450,1700109K24Rik,chr15,77084442,77096314
451,1700110C19Rik,chr17,10324601,10329307
452,1700110I01Rik,chr14,3262339,3305832
453,1700110K17Rik,chr9,40323425,40343564
454,1700111E14Rik,chr6,36937047,36985784
455,1700111N16Rik,chrX,69929258,70143588
456,1700112D23Rik,chr3,28702666,28781108
457,1700112E06Rik,chr14,22019711,23056085
458,1700112H15Rik,chr1,184527840,184557691
459,1700112J05Rik,chr5,77006448,77018863
460,1700112J16Rik,chr7,67204081,67222536
461,1700112K13Rik,chr4,127810637,127812173
462,1700113A16Rik,chr3,88171555,88177785
463,1700113H08Rik,chr10,87058044,87230589
464,1700116B05Rik,chr16,50783408,50784091
465,1700119I11Rik,chr13,91861431,91862044
466,1700120B22Rik,chr10,63243067,63244153
467,1700120C14Rik,chr15,99251787,99262044
468,1700120C18Rik,chr8,87500048,87501231
469,1700120G07Rik,chr7,135191763,135196002
470,1700120G11Rik,chr4,14219495,14237450
471,1700120O09Rik,chr14,67324893,67335928
472,1700121L03Rik,chr1,125190281,125197455
473,1700121L16Rik,chrX,104816775,104842455
474,1700121N20Rik,chr12,106442652,106447666
475,1700122D07Rik,chr1,59534810,59537229
476,1700122E12Rik,chr8,84847187,84848415
477,1700122O11Rik,chr17,48036744,48038293
478,1700123I01Rik,chr19,6184387,6224225
479,1700123K08Rik,chr5,138561839,138564712
480,1700123L14Rik,chr6,96164496,96166243
481,1700123M08Rik,chr4,11966564,11994280
482,1700123O12Rik,chr4,10479961,10797811
483,1700123O20Rik,chr14,54686170,54690742
484,1700123O21Rik,chr16,5975584,5998496
485,1700124L16Rik,chr6,83761755,83762865
486,1700125G02Rik,chr4,124890887,124894782
487,1700125G22Rik,chr3,27154025,27157019
488,1700125H03Rik,chr8,68368433,68375710
489,1700125H20Rik,chr11,85170403,85181145
490,1700126G02Rik,chr6,143201396,143221448
491,1700126H18Rik,chr5,66166606,66191336
492,1700128A07Rik,chr14,106417186,106486520
493,1700128E19Rik,chr8,11713263,11722620
494,1700128F08Rik,chr9,8221888,8241987
495,1700129C05Rik,chr14,59133039,59142893
496,1700129L04Rik,chr15,95097541,95162394
497,1810006J02Rik,chr1,98131455,98144655
498,1810007C17Rik,chr12,49476990,49480862
499,1810007D17Rik,chr19,58606328,58629753
500,1810008B01Rik,chr8,124305131,124306507
501,1810009A15Rik,chr19,8888852,8890881
502,1810009J06Rik,chr6,40964753,40968435
503,1810010H24Rik,chr11,107025680,107030443
504,1810010K12Rik,chr2,19451827,19454995
505,1810011H11Rik,chr14,32785962,32817968
506,1810011O10Rik,chr8,24437179,24438984
507,1810012K08Rik,chr2,26138545,26139543
508,1810012K16Rik,chr8,22398720,22399596
509,1810013L24Rik,chr16,8830099,8858916
510,1810014B01Rik,chr10,86685600,86694806
511,1810018F18Rik,chr19,58698916,58715770
512,1810019D21Rik,chr8,106135399,106138525
513,1810019N24Rik,chr7,12948591,12961768
514,1810020O05Rik,chr6,87675592,87690847
515,1810021B22Rik,chr15,89071195,89075852
516,1810022K09Rik,chr3,14606283,14611285
517,1810024B03Rik,chr2,127186354,127208280
518,1810026B05Rik,chr7,73539202,73558395
519,1810026J23Rik,chr9,21592721,21595970
520,1810030O07Rik,chrX,12654878,12673668
521,1810032O08Rik,chr11,116671659,116675799
522,1810034E14Rik,chr13,64248699,64268148
523,1810037I17Rik,chr3,122924202,122926184
524,1810041H14Rik,chr14,121876724,121879409
525,1810041L15Rik,chr15,84379202,84447097
526,1810043G02Rik,chr10,77978523,77986905
527,1810043H04Rik,chr11,120098927,120100705
528,1810044D09Rik,chr6,91440986,91441755
529,1810046K07Rik,chr9,51289685,51328917
530,1810049J17Rik,chr15,12321437,12321899
531,1810053B23Rik,chr16,93343280,93359543
532,1810055G02Rik,chr19,3708332,3717881
533,1810058I24Rik,chr6,35252653,35263496
534,1810059C17Rik,chr2,18054192,18056613
535,1810059H22Rik,chr5,148953747,148970122
536,1810062G17Rik,chr3,36475936,36482299
537,1810062O18Rik,chr14,20546078,20570687
538,1810063I02Rik,chr11,59921498,59921889
539,1810064F22Rik,chr9,22196962,22213860
540,1810065E05Rik,chr11,58421110,58426024
541,2010001A14Rik,chr11,57795498,57801417
542,2010003K11Rik,chr19,4496789,4498583
543,2010005H15Rik,chr16,36221467,36257444
544,2010007H06Rik,chr9,51278512,51284210
545,2010009K17Rik,chr2,158070366,158091797
546,2010010A06Rik,chr18,75288654,75297329
547,2010013B24Rik,chr6,145303151,145308951
548,2010015M23Rik,chr11,88039577,88047360
549,2010016I18Rik,chr3,106481981,106485913
550,2010103J01Rik,chr1,185312186,185313803
551,2010106C02Rik,chr17,86285163,86287178
552,2010106E10Rik,chrX,112495273,112558343
553,2010107E04Rik,chr12,111961375,111966977
554,2010107G12Rik,chr6,34945277,34988404
555,2010107G23Rik,chr10,62107654,62143920
556,2010109A12Rik,chr5,93206517,93213475
557,2010109I03Rik,chr15,74876986,74897021
558,2010110G14Rik,chr3,130838454,130842112
559,2010110K18Rik,chr18,34751808,34758685
560,2010111I01Rik,chr13,63014933,63326096
561,2010204K13Rik,chrX,7411816,7445143
562,2010300C02Rik,chr1,37611676,37720085
563,2010300F17Rik,chr11,96712981,96747436
564,2010308F09Rik,chrX,13234640,13247736
565,2010310C07Rik,chr6,42370670,42381215
566,2010315B03Rik,chr9,124291803,124312696
567,2010320O07Rik,chr18,38209771,38229145
568,2200002D01Rik,chr7,29246560,29248466
569,2210008F06Rik,chr11,77489853,77491409
570,2210010C04Rik,chr6,41030267,41035509
571,2210011C24Rik,chr8,84010221,84012171
572,2210011K15Rik,chr1,121355115,121359900
573,2210013O21Rik,chrX,153723589,153741920
574,2210016F16Rik,chr13,58380045,58385225
575,2210016L21Rik,chr5,114942157,114949783
576,2210017I01Rik,chr3,92604717,92607492
577,2210019I11Rik,chr5,147228595,147271521
578,2210404O09Rik,chr17,21879569,21909926
579,2210406O10Rik,chr5,36447610,36464853
580,2210407C18Rik,chr11,58608203,58616075
581,2210408F21Rik,chr6,31220350,31337404
582,2210408I21Rik,chr13,77135539,77613291
583,2210411M09Rik,chr1,180952063,180958149
584,2210414B05Rik,chr4,3656507,3663108
585,2210417A02Rik,chr5,148741839,148743139
586,2210418O10Rik,chr2,176226568,176240328
587,2210420H20Rik,chr18,82754504,82759041
588,2300002M23Rik,chr17,35567449,35568952
589,2300003K06Rik,chr11,99836801,99838066
590,2300009A05Rik,chr9,63394446,63399246
591,2310001H17Rik,chr6,129208411,129238725
592,2310001K24Rik,chr2,163471956,163473005
593,2310002F09Rik,chr7,43695208,43797958
594,2310002L09Rik,chr4,73939370,73950846
595,2310003L06Rik,chr5,87969458,87972870
596,2310005A03Rik,chr2,155097788,155100081
597,2310005E17Rik,chr13,98424108,98435065
598,2310007B03Rik,chr1,93151348,93160948
599,2310008N11Rik,chr8,26814592,26884380
600,2310009A05Rik,chr9,73039717,73042779
601,2310009B15Rik,chr1,138851982,138856852
602,2310010J17Rik,chr7,90124821,90129984
603,2310011J03Rik,chr10,80318253,80320537
604,2310014F06Rik,chr7,112612559,112680081
605,2310015A10Rik,chr12,80120547,80132844
606,2310015D24Rik,chr16,13514130,13521107
